Site,Month,Depth,pH,DO,BOD,COD,SS,T-N,T-P,TOC,Temp,Cond,DTN,NH3H,NO3N,DTP,PO4P,Chl-a
措没达2,1,U,7.2,8.8,0.9,1.8,1.2,1.899,0.011,2.4,6.5,161,1.559,0.044,0.9,0.006,0,1.2
措没达2,1,M,7.1,7.2,1,2.1,1.2,1.744,0.012,2.4,6.3,161,1.532,0.045,0.9,0.006,0.003,1.4
措没达2,1,L,6.9,2.3,1.4,2.6,2.4,1.737,0.013,2.1,4.4,193,1.467,0.037,0.9,0.007,0.003,2
措没达2,2,U,7.3,10.1,1.2,2.3,1.2,1.812,0.009,2.2,1.2,169,1.55,0.006,0.9,0.004,0,1.1
措没达2,2,M,7.3,10.3,1.1,2.2,1.6,1.684,0.014,2.2,4,171,1.318,0.007,0.9,0.006,0.002,1.2
措没达2,2,L,7.4,7.4,1.1,2,1.2,2.032,0.014,2,2.7,187,1.833,0.006,1.2,0.006,0.001,1.1
措没达2,3,U,7.7,12.1,0.9,1.7,1.6,1.953,0.016,2.1,4.4,169,1.705,0.011,1,0.009,0.001,1.2
措没达2,3,M,7.5,10.6,1,1.9,1.2,1.943,0.009,2.1,3.1,170,1.576,0.011,1,0.007,0.003,1.5
措没达2,3,L,7.4,9.4,0.7,1.4,0.8,2.048,0.012,2,2.8,179,1.745,0.012,1,0.009,0.002,1.3
措没达2,4,U,8.1,12.5,0.9,1.9,1.2,1.889,0.011,2,7.7,170,1.574,0.007,0.9,0.011,0.003,1.2
措没达2,4,M,7.6,10.2,0.7,1.4,1.6,1.876,0.011,1.9,3.8,170,1.634,0.008,1.2,0.01,0.003,1.3
措没达2,4,L,7.6,6.4,0.9,1.8,1.2,1.998,0.011,1.9,2.9,173,1.531,0.007,1.2,0.01,0.004,1
措没达2,5,U,8.3,11.2,1.1,2,1.2,1.85,0.01,2,14.5,169,1.583,0.009,0.9,0.01,0.003,1.2
措没达2,5,M,7.5,10.1,1.4,2.7,1.6,1.87,0.011,1.9,4.1,171,1.614,0.009,0.9,0.01,0.002,1.7
措没达2,5,L,7.6,9.7,1.1,2.2,2,2.457,0.013,1.9,3.3,172,2.206,0.01,1.1,0.011,0.001,1.9
措没达2,6,U,8.6,10.5,1.1,2,1.2,2.058,0.009,2.4,18.5,169,1.807,0.011,0.9,0.007,0.003,1.6
措没达2,6,M,7.2,8.4,1,2.1,0.8,2.033,0.008,2.1,4,173,1.725,0.01,1.1,0.007,0.006,1.7
措没达2,6,L,7.2,6,1.1,2.1,1.2,2.026,0.01,1.9,3.2,174,1.734,0.012,1.1,0.009,0.005,1.2
措没达2,7,U,9.1,10.1,1.1,2.2,1.6,2.188,0.011,2.4,21.1,170,1.824,0.019,0.9,0.009,0.002,1.2
措没达2,7,M,7.3,7.5,1.1,2.1,2,1.817,0.012,2.1,5.4,175,1.456,0.02,1.1,0.011,0.002,1.7
措没达2,7,L,7.2,4.5,1.3,2.5,0.8,1.943,0.009,1.9,3.2,178,1.748,0.001,1,0.008,0.001,1.3
措没达2,8,U,8.2,7.2,1.9,2.8,1.6,2.278,0.013,3.2,22.9,121,2.097,0.037,1.5,0.012,0.007,2.2
措没达2,8,M,7,7.7,2.2,3.1,1.6,1.934,0.015,2.5,15,93,1.638,0.038,1.1,0.011,0.008,2.3
措没达2,8,L,7.2,4.3,1.3,2.6,1.2,1.938,0.013,2.7,14,97,1.787,0.037,1.1,0.01,0.007,2.5
措没达2,9,U,9.6,8.1,1.2,2.2,1.6,2.037,0.03,2.7,24.6,134,1.805,0.021,1.1,0.024,0.009,4.1
措没达2,9,M,6.9,6.8,1.1,2,1.2,2.459,0.031,2,15,93,2.391,0.024,1.1,0.024,0.009,4.6
措没达2,9,L,7.2,1.8,1.2,2.4,1.2,2.341,0.012,2.2,13.3,105,1.922,0.02,1,0.009,0.008,4
措没达2,10,U,8.8,8.9,1.1,2,1.6,1.592,0.02,2.4,17.2,105,1.563,0.032,0.9,0.013,0.01,2.6
措没达2,10,M,7.2,4.3,1.4,2.7,2,2.315,0.022,2.2,16.2,98,2.191,0.044,1,0.012,0.009,3
措没达2,10,L,7.3,1.1,1.2,2.3,2,2.004,0.011,2.2,13.1,116,1.804,0.034,1,0.01,0.006,2.2
措没达2,11,U,7.3,6.4,1.1,2.2,1.6,2.402,0.016,2.2,13.2,110,2.396,0.031,0.9,0.013,0.008,1.5
措没达2,11,M,7.3,5.3,1.3,2.6,1.2,2.424,0.015,2.3,13.1,113,2.405,0.035,1,0.011,0.006,1.2
措没达2,11,L,7.2,3.6,1.2,2.3,1.2,2.332,0.02,2.2,12.3,110,2.216,0.032,0.9,0.011,0.009,1.3
措没达2,12,U,7.4,8.3,1.4,2.4,2.8,1.985,0.029,1.9,9.3,129,1.672,0.021,0.8,0.005,0.003,2.2
措没达2,12,M,7.3,8.2,1.2,2.5,4,1.892,0.039,1.9,9.2,129,1.711,0.014,0.9,0.009,0.001,2.9
措没达2,12,L,7.4,8.4,0.9,2.4,2.4,2.295,0.017,1.9,8.8,124,1.635,0.023,0.9,0.008,0.003,3.2
措没达4,1,U,7.4,12.1,0.9,1.8,0.8,1.696,0.008,2.3,4.1,171,1.469,0.049,1,0.007,0.005,1.8
措没达4,1,M,7.4,12,1.1,2.2,1.2,1.781,0.009,2.3,3.9,172,1.485,0.05,1,0.008,0.003,2.1
措没达4,1,L,7.4,11.9,1,2.2,1.2,1.99,0.011,2.2,3.2,181,1.677,0.044,1,0.01,0.004,1.8
措没达4,2,U,7.4,13.6,1.4,2.7,1.2,2.276,0.011,2.4,2.6,174,1.796,0.021,1.1,0.011,0.005,2
措没达4,2,M,7.4,13.7,1.3,2.3,2,2.526,0.015,2.1,1.8,173,2.125,0.022,1.3,0.014,0.011,2.1
措没达4,2,L,7.4,13.7,1.5,2.9,1.6,2.917,0.017,2,1.3,173,2.307,0.022,1.3,0.016,0.009,2
措没达4,3,U,7.3,12.7,1.2,2.3,2,3.093,0.036,2.5,4.1,158,2.757,0.024,1.5,0.015,0.009,2
措没达4,3,M,7.4,12.8,1,2.1,2.4,3.126,0.035,2.5,4,160,2.867,0.025,1.7,0.016,0.013,2.2
措没达4,3,L,7.6,12.9,1,1.9,1.6,3.083,0.035,2.1,3,187,2.669,0.021,1.7,0.017,0.009,2
措没达4,4,U,8.8,12.2,1.3,2.6,1.2,2.404,0.015,1.7,9.6,170,2.178,0.01,1.1,0.013,0.005,2
措没达4,4,M,7.7,10.1,1.1,2.2,2,2.541,0.02,1.6,5.9,173,1.983,0.012,1.3,0.014,0.004,2
措没达4,4,L,7.9,10.5,1,2,1.6,2.847,0.022,1.6,4.7,163,2.417,0.013,1.3,0.014,0.003,1.9
措没达4,5,U,8.6,8.3,1.3,2.5,2,2.162,0.019,2,15.6,163,1.883,0.017,1.2,0.013,0.004,1.8
措没达4,5,M,7.4,6.6,1.3,2.6,1.6,1.864,0.014,1.7,9.4,169,1.618,0.016,1.2,0.013,0.003,1.6
措没达4,5,L,7.4,5.3,0.8,1.6,1.2,2.089,0.017,1.7,7,171,2.062,0.02,1.2,0.015,0.003,1.7
措没达4,6,U,8.8,7.4,1.2,2.4,1.6,1.793,0.011,2.5,19.6,174,1.437,0.012,1,0.008,0.003,2
措没达4,6,M,7.3,1.8,1.1,2.2,1.2,1.779,0.015,2.3,16.1,176,1.512,0.012,0.9,0.007,0.005,2
措没达4,6,L,7.3,2.8,1.1,2.2,1.2,2.068,0.012,1.9,7.4,178,1.78,0.01,0.9,0.011,0.003,1.9
措没达4,7,U,8.3,8.5,1.3,2.5,2.4,1.999,0.018,2.6,21.1,167,1.632,0.016,1,0.011,0.003,2.1
措没达4,7,M,7.6,4.8,1.3,2.4,1.6,2.188,0.026,2.4,20.6,165,1.798,0.018,1,0.021,0.007,1.7
措没达4,7,L,7.5,1.3,1,1.9,1.6,2.923,0.026,3.3,16.5,128,2.17,0.014,1.3,0.02,0.006,2.1
措没达4,8,U,8.4,8.1,1,1.5,2.4,1.995,0.013,2.5,24.8,151,1.749,0.042,1.3,0.01,0.004,3.5
措没达4,8,M,7.3,4.8,1.4,2.2,2,2.016,0.015,2.2,17,101,1.782,0.043,1.1,0.011,0.005,4
措没达4,8,L,7.4,3.5,1.5,2.5,1.6,2.209,0.014,2.3,16,111,1.848,0.044,1.1,0.011,0.008,3.9
措没达4,9,U,7.5,9.8,1.1,1.6,1.6,2.347,0.017,2.4,15.5,82,1.873,0.02,1.3,0.013,0.006,2.1
措没达4,9,M,7.6,9.7,1.2,2.3,2,2.271,0.024,2.3,15.5,82,2.016,0.025,1.3,0.012,0.01,3
措没达4,9,L,7.8,9.7,1.2,2.4,1.2,1.883,0.012,2.3,15.5,83,1.62,0.02,1.1,0.011,0.007,2.5
措没达4,10,U,9.2,10.9,1.3,2.6,1.6,1.805,0.018,2.1,16.9,138,1.724,0.032,1.1,0.013,0.008,3.1
措没达4,10,M,9,9.9,1.2,2.4,2,2.395,0.025,2,16.9,138,1.979,0.04,1.2,0.021,0.006,3.2
措没达4,10,L,8.5,7.4,1.3,2.5,1.6,2.088,0.019,1.7,16.5,159,1.804,0.034,1,0.016,0.008,3.7
措没达4,11,U,7.9,10.9,1,1.9,1.2,2.436,0.024,2,10.9,147,2.402,0.032,1.1,0.019,0.013,1
措没达4,11,M,7.8,10.9,1.1,2.2,1.6,2.538,0.02,1.9,10.8,147,2.456,0.04,1,0.011,0.009,1
措没达4,11,L,7.9,10.9,1.3,2.4,1.2,2.467,0.026,2.1,10.3,157,2.406,0.036,1,0.016,0.01,1.3
措没达4,12,U,7.6,11.2,1.5,2.4,1.6,1.989,0.026,1.9,6.3,149,1.127,0.077,1,0.002,0.001,2.9
措没达4,12,M,7.7,11.1,1.4,2.5,2,1.836,0.022,1.8,6.2,149,1.216,0.084,0.9,0.005,0.003,2.9
措没达4,12,L,7.7,11.3,2,2.5,3.6,1.791,0.014,1.8,6,151,1.219,0.112,0.8,0.001,0,3
措没达5,1,U,7.5,10.5,1,2,1.2,1.724,0.013,2.3,6.4,161,1.455,0.045,1,0.01,0.005,1.2
措没达5,1,M,7.5,10.5,1.2,2.3,1.2,1.648,0.015,2.4,6.4,161,1.306,0.039,0.9,0.005,0.003,1.4
措没达5,1,L,7.5,10.2,1.1,2,8,1.711,0.017,2.4,5.7,167,1.465,0.039,0.9,0.006,0.005,1.2
措没达5,2,U,7.5,11.8,1.2,2.1,1.2,1.686,0.018,2.4,4,167,1.488,0.01,1.3,0.016,0.009,1.7
措没达5,2,M,7.5,11.7,1.2,2.4,1.6,1.74,0.019,2.2,4,167,1.45,0.013,1.3,0.007,0.003,1.9
措没达5,2,L,7.5,11.8,1.3,2.5,1.6,1.722,0.009,2.2,2.6,181,1.368,0.01,1,0.009,0.004,1.8
措没达5,3,U,7.7,12.8,0.7,1.5,1.2,1.959,0.015,2.2,4,166,1.65,0.003,1.4,0.007,0.005,1.7
措没达5,3,M,7.6,12.4,1.1,2,1.6,1.843,0.015,2.2,3.6,167,1.434,0.008,1.4,0.007,0.005,1.8
措没达5,3,L,7.6,12.3,0.9,1.9,1.2,2.077,0.009,2.1,2.5,174,1.617,0.007,1.4,0.008,0.006,1.9
措没达5,4,U,8.1,12.7,1.1,2.3,1.6,1.98,0.015,2.1,7.9,168,1.657,0.008,1.2,0.013,0.002,1.7
措没达5,4,M,7.6,11.8,0.9,1.9,1.2,2.304,0.013,1.8,4.2,174,2.023,0.009,1.2,0.013,0.002,1.9
措没达5,4,L,7.6,11.3,0.9,1.8,0.8,2.189,0.016,1.9,3.1,179,1.842,0.007,1.1,0.012,0.001,1.7
措没达5,5,U,8,10.2,1.1,2.2,2,2.215,0.013,2,14.6,172,1.995,0.01,1.2,0.012,0.003,1.7
措没达5,5,M,7.3,8.2,1.1,2.1,1.6,2.094,0.01,1.9,4.7,175,1.849,0.011,1.1,0.01,0.002,1.5
措没达5,5,L,7.4,7.6,0.8,1.7,1.2,2.4,0.014,1.8,3.1,178,2.104,0.008,1.1,0.011,0.002,2
措没达5,6,U,8.8,10.5,1.2,2.4,1.6,1.991,0.018,2.1,18.7,169,1.689,0.019,0.9,0.01,0.003,2
措没达5,6,M,7.3,7.3,1.2,2.4,1.2,2.263,0.019,2,7.1,173,1.877,0.02,1.2,0.012,0.004,2
措没达5,6,L,7.3,5.8,1,2,1.2,2.59,0.017,1.9,3.8,179,2.228,0.019,1.2,0.009,0.005,2
措没达5,7,U,9.5,8.6,1,2,1.2,1.737,0.02,3.1,20.7,167,1.486,0.017,1,0.013,0.005,1.6
措没达5,7,M,7.3,2.9,1.4,2.8,1.2,2.303,0.017,2,10.9,184,1.777,0.021,1.1,0.012,0.008,2
措没达5,7,L,7.5,2.8,1.3,2.5,0.8,2.293,0.021,1.9,3.8,183,1.887,0.02,1.1,0.011,0.006,1.8
措没达5,8,U,8.1,7.8,2,2.9,2.4,1.719,0.016,2.8,21.2,93,1.429,0.039,1,0.013,0.009,4.4
措没达5,8,M,7.2,8.3,1.2,2.4,1.6,2.339,0.018,2.4,15.7,106,1.873,0.036,1,0.016,0.008,5.7
措没达5,8,L,7.4,7.7,1.2,2.3,1.6,1.981,0.015,2.4,14.8,90,1.663,0.044,1,0.012,0.008,4
措没达5,9,U,7.2,5.6,1.3,2.7,1.6,1.633,0.024,2,23.7,149,1.2,0.024,0.9,0.017,0.011,3
措没达5,9,M,6.9,6.7,1.2,2.2,2,2.326,0.021,2.1,15.9,94,2.064,0.04,1.1,0.019,0.01,4.2
措没达5,9,L,7,4.9,1.3,2.5,1.6,2.04,0.019,2,14.6,98,1.829,0.024,1.3,0.016,0.009,3.7
措没达5,10,U,7.9,8.6,1.1,2.1,1.6,1.647,0.014,2.1,17.2,118,1.229,0.03,0.9,0.012,0.009,2.3
措没达5,10,M,7.4,4.8,1.3,2.6,1.2,1.805,0.012,2.1,17.1,127,1.238,0.03,1,0.009,0.005,2
措没达5,10,L,7.3,1.3,1.2,2.3,1.2,1.962,0.012,1.7,15.6,116,1.729,0.028,1,0.009,0.006,1.9
措没达5,11,U,7.6,8.1,1.2,2.5,1.6,2.388,0.021,1.9,12.9,125,2.238,0.025,1,0.015,0.011,1
措没达5,11,M,7.6,8,1,2,1.6,2.402,0.025,2,12.8,126,2.357,0.037,1.1,0.013,0.009,1
措没达5,11,L,7.6,8.4,1.1,2.1,1.2,2.399,0.024,2,12.7,129,2.22,0.04,1.1,0.02,0.013,1.1
措没达5,12,U,7.5,9.4,1.4,2.4,2,1.733,0.027,1.9,9,123,1.128,0.026,0.9,0.009,0.002,2.9
措没达5,12,M,7.5,9.3,1.4,2.6,2,1.693,0.019,2,9,123,1.033,0.017,0.8,0.007,0.002,3.3
措没达5,12,L,7.5,9,1.4,2.5,4.4,1.882,0.02,1.9,8.5,137,1.101,0.038,0.9,0.016,0,3.1
